City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,25.05,83,100,4.99,PN,1710405785
1,ushuaia,-54.8,-68.3,4.81,81,20,4.63,AR,1710405805
2,invercargill,-46.4,168.35,10.57,93,99,3.13,NZ,1710405805
3,aasiaat,68.7098,-52.8699,-19.42,99,100,1.39,GL,1710405806
4,bethel,41.3712,-73.414,6.23,83,0,0.97,US,1710405806
5,vorkuta,67.5,64.0,-15.17,93,94,3.45,RU,1710405807
6,port-aux-francais,-49.35,70.2167,5.54,91,99,3.66,TF,1710405807
7,udachny,66.4167,112.4,-19.51,88,65,2.11,RU,1710405808
8,puerto natales,-51.7236,-72.4875,3.69,77,68,5.57,CL,1710405808
9,shijiang,27.0819,110.7933,14.58,83,96,2.39,CN,1710405809
10,hawaiian paradise park,19.5933,-154.9731,21.13,89,20,0.0,US,1710405809
11,papatowai,-46.5619,169.4708,11.12,83,89,4.7,NZ,1710405810
12,utrik,11.2278,169.8474,26.52,79,100,9.45,MH,1710405810
13,georgetown,5.4112,100.3354,33.96,55,20,4.12,MY,1710405811
14,namibe,-15.1961,12.1522,25.34,66,17,2.47,AO,1710405811
15,port elizabeth,-33.918,25.5701,22.95,71,20,6.17,ZA,1710405812
16,whitehorse,60.7161,-135.0538,-0.57,87,100,9.77,CA,1710405812
17,tiksi,71.6872,128.8694,-28.59,97,19,3.05,RU,1710405813
18,qaisumah,28.3112,46.1273,25.98,19,75,6.69,SA,1710405813
19,basoko,1.2391,23.616,30.99,52,7,0.99,CD,1710405814
20,port saint john's,-31.6229,29.5448,19.99,90,97,4.02,ZA,1710405814
21,grytviken,-54.2811,-36.5092,3.78,90,6,1.27,GS,1710405815
22,kingston,17.997,-76.7936,27.53,61,20,1.03,JM,1710405815
23,sernur,56.9333,49.1536,-1.33,92,100,6.57,RU,1710405816
24,blackmans bay,-43.0167,147.3167,13.07,63,0,0.45,AU,1710405817
25,ribeira grande,38.5167,-28.7,17.22,88,75,7.72,PT,1710405817
26,enewetak,11.3474,162.3373,26.6,79,100,9.54,MH,1710405818
27,qaqortoq,60.7167,-46.0333,-11.57,90,68,2.86,GL,1710405818
28,tulun,54.5611,100.5792,-3.36,70,99,2.1,RU,1710405819
29,nemuro,43.3236,145.575,-1.36,82,99,3.99,JP,1710405819
30,yellowknife,62.456,-114.3525,-6.99,97,20,3.6,CA,1710405820
31,west island,-12.1568,96.8225,29.99,70,77,3.6,CC,1710405820
32,minas de marcona,-15.2119,-75.1103,17.76,86,97,4.33,PE,1710405821
33,bongaree,-27.0797,153.1586,26.01,81,15,3.5,AU,1710405821
34,januaria,-15.4833,-44.3667,21.16,98,26,1.33,BR,1710405822
35,lata,40.1629,-8.3327,13.6,68,38,2.24,PT,1710405822
36,uturoa,-16.7333,-151.4333,28.79,72,100,2.33,PF,1710405823
37,red chute,32.556,-93.6132,21.94,86,100,4.12,US,1710405823
38,vuktyl,63.8567,57.3094,-9.49,85,100,3.0,RU,1710405824
39,luang namtha,20.9497,101.4011,33.01,38,5,1.03,LA,1710405824
40,longyearbyen,78.2186,15.6401,-19.09,50,20,5.66,SJ,1710405825
41,iskateley,67.6803,53.1512,-8.88,93,92,5.36,RU,1710405825
42,atar,20.5169,-13.0499,23.31,16,0,5.92,MR,1710405826
43,aljezur,37.3191,-8.8033,15.34,80,45,1.83,PT,1710405826
44,dickinson,29.4608,-95.0513,23.05,93,100,4.12,US,1710405827
45,wailua homesteads,22.0669,-159.378,22.24,92,20,4.12,US,1710405827
